,SMILES,Molskill
71,O=C(C1=CC(OC)=C2N=CC=CC2=C1)NC[C@](O)(C3=CC4=C(OC[C@]4(C)NS(=O)(C)=O)C(C5=CC=C(F)C=C5)=N3)C(F)(F)F,7.1030707
72,O=C(C1=CC(OC)=C2N=CC=CC2=C1)NC[C@](O)(C3=CC4=C(OC[C@@]4(NC(C)=O)C)C(C5=CC=C(F)C=C5)=N3)C(F)(F)F,4.3302913
73,O=C(C1=CC(OC2CC2)=C3N=CC=CC3=C1)NC[C@](O)(C4=CC5=C(OC[C@@]5(NC(C)=O)C)C(C6=CC=C(F)C=C6)=N4)C(F)(F)F,0.78094065
74,O=C(C1=CC(OC2CC2)=C3N=CC(F)=CC3=C1)NC[C@](O)(C4=CC5=C(OC[C@@]5(NC(C)=O)C)C(C6=CC=C(F)C=C6)=N4)C(F)(F)F,-1.8311219
75,O=C(C1=CC(OC)=C2N=CC(C)=CC2=C1)NC[C@](O)(C3=CC4=C(OC[C@@]4(NC(C)=O)C)C(C5=CC=C(F)C=C5)=N3)C(F)(F)F,3.3510914
76,O=C(C1=CC(OC)=C2N=CC(C)=CC2=C1)NC[C@](O)(C3=CC4=C(OC[C@]4(C)NS(=O)(C)=O)C(C5=CC=C(F)C=C5)=N3)C(F)(F)F,6.1056795
77,O=C(C1=CC(OC)=C2N=CC(C)=CC2=C1)NC[C@](O)(C3=NC(C4=CC=C(F)C=C4)=C(F)C(C(C)(O)C)=C3)C(F)(F)F,5.2058463
78,O=C(C1=CC(OC)=C2N=CC(C)=CC2=C1)NC[C@](O)(C3=NC(C4=CC=C(F)C=C4)=C(Cl)C(C(C)(O)C)=C3)C(F)(F)F,4.697014
79,O=C(C1=CC(OC)=C2N=CC(C)=CC2=C1)NC[C@](O)(C3=NC(C4=CC=C(F)C=C4)=C(F)C(C(C)(O)C)=C3F)C(F)(F)F,7.910067
80,O=C(C1=CC(OC)=C2N=CC(C)=CC2=C1)NC[C@](O)(C3=NC(C4=CC=C(F)C=C4)=C(Cl)C(C(C)(O)C)=C3F)C(F)(F)F,5.7373657
81,O=C(C1=CC(OC)=C2N=CC(C)=CC2=C1)NC[C@](O)(C3=NC(C4=CC=C(F)C=C4)=C(F)C(C(C)(O)C)=C3)C(F)F,4.834782
82,O=C(C1=CC(OC)=C2N=CC(CF)=CC2=C1)NC[C@](O)(C3=NC(C4=CC=C(F)C=C4)=C(F)C(C(C)(O)C)=C3)C(F)(F)F,6.936604
83,O=C(C1=CC(OC)=C2N=CC(C(F)F)=CC2=C1)NC[C@](O)(C3=NC(C4=CC=C(F)C=C4)=C(F)C(C(C)(O)C)=C3)C(F)(F)F,9.400128
84,O=C(C1=CC(OC)=C2N=CC(C3CC3)=CC2=C1)NC[C@](O)(C4=NC(C5=CC=C(F)C=C5)=C(F)C(C(C)(O)C)=C4)C(F)(F)F,8.9805975
85,O=C(C1=CC(OC)=C2N=CC(C(F)(F)F)=CC2=C1)NC[C@](O)(C3=NC(C4=CC=C(F)C=C4)=C(F)C(C(C)(O)C)=C3)C(F)(F)F,9.96533
